tweetID,crisisname,period,relatedness_annotation,urgency_annotation,intention_annotation
1054066161913073664,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 926730954118500352,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1054363261020311552,Aude,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 958705422491377664,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 801457219313238016,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 516655815395377152,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 262918212159692800,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 786591021303992320,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1051876062882336768,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
 534025589708308480,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 738129799974137856,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
  98419834483785728,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Humains
 356089216477839360,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 978362276288892928,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 432397118867648512,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 976053363967176704,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 631030189783412736,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
1054443231532990464,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 861271347498016768,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 111954051490521088,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1054130453102387200,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1051878767461892096,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Humains
1054231492220596224,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054611660290342912,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054463028228509696,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054198227099103232,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
1054369924162953216,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 277678002274447360,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 958069368251998208,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
1054266277253079040,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054236274645762048,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 432166626977259520,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
